#cnt bytes time_avg time_min bandwidth
1021 8168 1.55342e-05 1.51992e-05 5.37397e+08
1026 8208 1.61004e-05 1.58429e-05 5.18086e+08
1031 8248 1.57815e-05 1.52946e-05 5.39277e+08
1036 8288 1.58601e-05 1.52946e-05 5.41892e+08
1041 8328 1.60936e-05 1.54018e-05 5.40715e+08
1046 8368 1.55619e-05 1.53899e-05 5.43733e+08
1051 8408 1.59055e-05 1.54018e-05 5.45909e+08
1056 8448 1.63008e-05 1.59025e-05 5.31237e+08
1061 8488 1.63403e-05 1.60933e-05 5.27426e+08
1066 8528 1.63826e-05 1.61409e-05 5.28346e+08
1071 8568 1.64219e-05 1.61529e-05 5.30432e+08
1076 8608 1.63264e-05 1.59025e-05 5.41298e+08
1081 8648 1.64599e-05 1.61409e-05 5.35781e+08
1086 8688 1.6561e-05 1.63436e-05 5.31584e+08
1091 8728 1.65365e-05 1.62482e-05 5.37166e+08
1096 8768 1.65609e-05 1.63436e-05 5.36479e+08
1101 8808 1.60052e-05 1.57475e-05 5.59325e+08
1106 8848 1.59506e-05 1.57475e-05 5.61865e+08
1111 8888 1.63165e-05 1.59025e-05 5.58905e+08
1116 8928 1.64076e-05 1.59025e-05 5.6142e+08
1121 8968 1.63665e-05 1.59025e-05 5.63936e+08
1126 9008 1.65615e-05 1.60933e-05 5.59738e+08
1131 9048 1.63239e-05 1.59979e-05 5.65575e+08
1136 9088 1.63673e-05 1.60933e-05 5.64709e+08
1141 9128 1.63881e-05 1.61529e-05 5.65101e+08
1146 9168 1.6391e-05 1.61529e-05 5.67578e+08
1151 9208 1.64912e-05 1.62959e-05 5.6505e+08
1156 9248 1.6468e-05 1.62482e-05 5.6917e+08
1161 9288 1.65415e-05 1.62482e-05 5.71632e+08
1166 9328 1.66129e-05 1.63555e-05 5.70328e+08
1171 9368 1.66836e-05 1.64032e-05 5.71108e+08
1176 9408 1.67356e-05 1.63913e-05 5.73964e+08
1181 9448 1.67199e-05 1.64509e-05 5.74316e+08
